precio,banos,dormitorios,superficie_total,superficie_construida,estacionamiento,latitud,longitud
582710117,3.0,11.0,27574.0,-3800.0,1.0,-33.4405886,-70.6624096
128423133,1.0,2.0,336.0,273.0,1.0,-33.5643729,-70.6598555
153635036,2.0,3.0,121.0,51.0,1.0,-33.5080475,-70.7049682
109908141,1.0,2.0,191.0,51.0,1.0,-33.5538101,-70.5801673
1083323974,5.0,5.0,480.0,80.0,1.0,-33.432374,-70.6058559
161750118,2.0,3.0,140.0,50.0,1.0,-33.5935743,-70.5858683
191058955,2.0,5.0,5235.0,0.0,1.0,-33.7409625,-71.1948139
195000000,2.0,3.0,103.0,15.0,1.0,-33.5020224,-70.5906764
115000000,1.0,4.0,130.0,25.0,1.0,-33.4981891,-70.6833022
175000000,2.0,4.0,330.0,205.0,1.0,-33.516074,-70.6274407
665751824,2.0,3.0,280.0,160.0,1.0,-33.3827052,-70.5697869
890295339,5.0,7.0,473.0,270.0,1.0,-33.3280317,-70.5429293
128029197,3.0,4.0,167.0,107.0,1.0,-33.6028661,-70.577123
120000000,2.0,3.0,92.0,30.0,1.0,-33.5494962,-70.7696108
168998540,2.0,4.0,240.0,112.0,1.0,-33.5404714,-70.6716122
135120045,2.0,3.0,190.0,50.0,1.0,-33.3634093,-70.7292316
311209433,2.0,6.0,252.0,114.0,1.0,-33.5216289,-70.6617607
156500000,3.0,3.0,142.0,56.0,1.0,-33.4049416,-70.7578888
289542953,3.0,4.0,394.0,287.0,1.0,-33.5659659,-70.8291531
173331836,2.0,3.0,90.0,-50.0,1.0,-33.4923208,-70.6517693
85000000,1.0,3.0,110.0,55.0,1.0,-33.4768303,-70.7202874
83500000,2.0,3.0,100.0,25.0,1.0,-33.61205,-70.58707
654000000,4.0,7.0,5450.0,4884.0,1.0,-33.6922894,-70.8493173
216664795,3.0,3.0,200.0,90.0,1.0,-33.5709234,-70.827359
100000000,1.0,3.0,125.0,0.0,0.0,-33.4106102,-70.7109329
413632790,2.0,2.0,370.0,0.0,1.0,-33.4716206,-70.6364076
85878046,2.0,3.0,71.0,21.0,1.0,-33.5742289,-70.8058935
100847614,1.0,4.0,62.0,-28.0,1.0,-33.5195185,-70.5530974
126059517,2.0,3.0,150.0,75.0,1.0,-33.4736432,-70.5521047
135000000,2.0,5.0,200.0,87.0,1.0,-33.5250272,-70.653219
95000000,1.0,4.0,74.0,-15.0,0.0,-33.4423121,-70.7214769
157574396,2.0,3.0,170.0,50.0,1.0,-33.3633309,-70.6880709
492419988,3.0,5.0,242.0,87.0,1.0,-33.4267616,-70.5420512
110302077,2.0,3.0,108.0,42.0,1.0,-33.5611068,-70.7912527
295451993,2.0,4.0,1120.0,1000.0,1.0,-33.4890057,-70.5309006
281270297,2.0,4.0,140.0,-100.0,1.0,-33.4828662,-70.700125
184755980,3.0,3.0,180.0,70.0,1.0,-33.3628218,-70.7112095
334845592,3.0,3.0,174.0,31.0,1.0,-33.4943506,-70.5755755
268500000,2.0,4.0,330.0,210.0,1.0,-33.493261,-70.5968232
154000000,2.0,4.0,125.0,0.0,1.0,-33.4836039,-70.7675205
145000000,3.0,8.0,700.0,450.0,0.0,-33.586146,-70.695994
320000000,3.0,11.0,270.0,0.0,0.0,-33.4643094,-70.6318584
267088602,4.0,4.0,5000.0,4580.0,1.0,-33.7009162,-70.9595781
482453408,2.0,3.0,400.0,250.0,1.0,-33.6208036,-70.6993815
130000000,2.0,4.0,250.0,0.0,1.0,-33.5858564,-70.699079
384087591,2.0,6.0,275.0,100.0,1.0,-33.4565235,-70.5593211
159995000,1.0,3.0,170.0,79.0,1.0,-33.5126044,-70.7605926
123000000,1.0,3.0,180.0,110.0,1.0,-33.5207571,-70.5761271
200907355,2.0,3.0,214.0,104.0,1.0,-33.7531648,-70.7424732
468783829,3.0,5.0,5530.0,5310.0,1.0,-33.5742477,-70.7835262
220604155,4.0,5.0,496.0,356.0,1.0,-33.5782038,-70.7104391
531813587,2.0,3.0,273.0,112.0,1.0,-33.3897711,-70.5561524
62000000,1.0,2.0,6362.0,6318.0,1.0,-33.399894,-70.7492776
736660302,5.0,5.0,652.0,407.0,1.0,-33.2650789,-70.6223639
170968220,1.0,5.0,300.0,201.0,1.0,-33.5209508,-70.6402341
196574059,3.0,3.0,143.0,52.0,1.0,-33.5300314,-70.5587723
168171274,1.0,2.0,450.0,0.0,1.0,-33.5439889,-70.6099079
93000000,1.0,3.0,140.0,65.0,1.0,-33.4941997,-70.6881338
