Titulo;Precio;Banos;Fecha;Piezas;Superficie Construida;Superficie Total;Estacionamiento;Lugar;Latitud;Longitud;Corredora
Independencia Escanilla;88000000;1;28-05-2025;3;83;105;;Independencia;-334.192.413;-7.066.067.559.999.990;De La Barrera Propiedades
San Jose de Maipo Pje. Las Algas 346;253987500;4;28-05-2025;6;237;1000;2;San Jose de Maipo;-335.918.238;-703.834.779;
La Reina Fernando Castillo Velasco;335000000;3;28-05-2025;4;320;160;1;La Reina;-3.345.232;-7.055.818;
La Cisterna Av. Goycolea 724;400000000;2;28-05-2025;4;160;750;5;La Cisterna;-335.415.998;-706.569.054;100propiedades Corredora
Maipu Kiev 1760;113317500;1;28-05-2025;2;68;112;1;Maipu;-334.873.311;-7.073.351.029.999.990;100propiedades Corredora
La Florida Ntra. Sra. de Andacollo 9581;175837500;2;28-05-2025;3;80;247;2;La Florida;-3.354.134.730.000.000;-705.643.695;100propiedades Corredora
Macul Jose Miguel Carrera 2093;120000000;2;28-05-2025;4;85;85;2;Macul;-334.929.003;-706.109.482;100propiedades Corredora
La Cisterna Av. El Parron 0702;165000000;2;28-05-2025;4;162;182;;La Cisterna;-335.241.189;-706.684.527;100propiedades Corredora
San Bernardo Nemesio Antunez 1931;100000000;2;27-05-2025;3;80;200;2;San Bernardo;-336.166.392;-706.901.772;
San Bernardo Los Canelos 200;180000000;1;27-05-2025;4;86;567;5;San Bernardo;-3.361.702.038.182.740;-7.069.561.241.817.500;
El Bosque Lo Espina 338;175000000;1;27-05-2025;4;144;500;4;El Bosque;-3.355.905.892.206.200;-7.067.311.054.813.230;
San Bernardo Portales Oriente;119686725;1;27-05-2025;3;54;120;3;San Bernardo;-336.397.861;-707.077.009;Propiedades Abarca
Maipu !Oportunidad Real! Invierte Menos y Gana mas Gamo 3375;85925925;3;27-05-2025;3;79;90;1;Maipu;-3.349.779;-707.428.553;Punto Exacto Corredora de Propiedades Ltda.
La Florida Isabel Riquelme 6871;136762500;2;24-05-2025;4;52;164;3;La Florida;-33.520.624;-705.894.746;
Isla de Maipo Jaime Guzman 244;283293750;3;24-05-2025;3;158;400;2;Isla de Maipo;-33.750.153;-70.906.781;
San Bernardo Cam. Padre Hurtado 19431;60000000;2;23-05-2025;3;51;104;1;San Bernardo;-336.472.177;-706.644.823;
Pudahuel Las Loicas Oriente;246172500;3;23-05-2025;5;135;275;2;Pudahuel;-334.498.939;-708.422.751;Terrasur Gestión Inmobiliaria
Curacavi Hacienda El Mauco;168022500;1;23-05-2025;3;100;20000;4;Curacavi;-333.576.481;-711.509.903;Bienes Raíces Castro Aranguiz
Maipu Cerro Blanco;118000000;2;22-05-2025;2;75;149;1;Maipu;-335.347.889;-707.845.892;Codalu Propiedades
Maipu Holmio 1632;125000000;1;22-05-2025;4;120;128;;Maipu;-335.212.599;-707.816.634;Cadepar Propiedades SpA
Puente Alto Chacayal;160000000;2;22-05-2025;3;100;180;2;Puente Alto;-335.696.246;-705.506.309;Barros Propiedades
Isla de Maipo Isla de maipo;100000000;1;20-05-2025;3;60;150;1;Isla de Maipo;-337.443.643;-709.109.395;
San Bernardo Volcan San Pedro;109800750;2;20-05-2025;3;90;120;2;San Bernardo;-3.362.444.856.005.550;-7.070.850.558.362.610;Terrasur Gestión Inmobiliaria
San Bernardo America;299314500;1;19-05-2025;4;152;615;2;San Bernardo;-335.880.638;-707.076.474;
El Bosque Alejandro Guzman;59000000;1;19-05-2025;2;55;180;1;El Bosque;-335.557.806;-706.654.898;
San Bernardo Avenida San Jose 0423;200000000;1;18-05-2025;3;120;384;4;San Bernardo;-33.599.717.629.269.200;-706.926.739.291.547;Bienes Raíces Castro Aranguiz
Maipu Laguna Blanca 843;89872500;1;17-05-2025;2;60;96;2;Maipu;-335.356.504;-707.913.878;
Maipu Maipu;125000000;1;17-05-2025;3;66;200;1;Maipu;-335.105.866;-707.572.607;
Padre Hurtado Rodolfo Jaramillo;148485000;2;16-05-2025;3;80;150;2;Padre Hurtado;-335.622.572;-708.180.382;
La Florida Trupan;304785000;3;15-05-2025;4;156;200;3;La Florida;-335.243.394;-705.768.196;Sp Rios Propiedades
Vitacura Brasilia 1200;12000;2;15-05-2025;3;;250;3;Vitacura;-3.339.419.609.999.990;-7.056.837.829.999.990;Bienes Raíces Castro Aranguiz
San Bernardo Cam. Cerro Negro 1963;152392500;3;14-05-2025;3;87;137;2;San Bernardo;-336.132.862;-706.874.362;Bienes Raíces Castro Aranguiz
La Florida Palena 3245;233981100;3;14-05-2025;4;114;144;2;La Florida;-3.351.832.249.999.990;-7.056.191.489.999.990;Orme Propiedades
Quilicura Los Carpatos 733;135000000;3;14-05-2025;3;80;190;3;Quilicura;-333.561.578;-707.458.163;Jacnel Propiedades
Huechuraba Avenida El Carmen;433732500;5;14-05-2025;6;210;520;2;Huechuraba;-3.335.216.666.303.700;-706.641.191.907.379;
Maipu Maipu;50000000;1;14-05-2025;2;;95;1;Maipu;-335.105.866;-707.572.607;Urbas Propiedades
La Florida Los Algarrobos;289155000;3;14-05-2025;5;140;332;2;La Florida;-334.746.059;-706.511.572;
La Florida Lientur;976875000;4;13-05-2025;4;182;1600;5;La Florida;-335.204.465;-7.056.116.399.999.990;Sp Rios Propiedades
Padre Hurtado Av. Sta. Herminia Ote. 591;241874250;3;13-05-2025;3;264;263;4;Padre Hurtado;-335.696.824;-708.286.248;Wpp-propiedades Spa
Buin Ivan Cortez Cruz;175446750;2;12-05-2025;3;104;187;1;Buin;-337.315.361;-707.219.331;Terrasur Gestión Inmobiliaria
